group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,global,8,74105.38315337407,-63828.51776382992
controls,4,global,8,75800.24527780175,-62840.87879394896
controls,5,global,8,76937.70074734912,-61891.20964935768
controls,6,global,8,78837.20704311198,-61334.079951907486
controls,7,global,8,80794.97034569296,-61321.44067037504
controls,8,global,8,82934.15009155622,-61546.74290057717
meditators,3,global,8,74329.36725327786,-66616.19510842412
meditators,4,global,8,75408.98341757744,-64648.5081972034
meditators,5,global,8,77063.56673406815,-64170.90341373418
meditators,6,global,8,78294.26169849312,-63389.017762202384
meditators,7,global,8,80073.38606390358,-63102.53483084268
meditators,8,global,8,81827.89517761263,-63366.073656595625
